Algorithm,Map,Run,Value
RRT,3,13,0
PRM,3,13,2
PSO,3,13,98
Dijkstra,3,14,3
Astar,3,14,2
RRT,3,14,2
PRM,3,14,3
PSO,3,14,98
Dijkstra,3,15,19
Astar,3,15,3
RRT,3,15,3
PRM,3,15,3
PSO,3,15,97
Dijkstra,3,16,9
Astar,3,16,1
RRT,3,16,1
PRM,3,16,1
PSO,3,16,98
Dijkstra,3,17,15
Astar,3,17,1
RRT,3,17,1
PRM,3,17,2
PSO,3,17,98
Dijkstra,3,18,11
Astar,3,18,1
RRT,3,18,1
PRM,3,18,2
PSO,3,18,0
Dijkstra,3,19,3
Astar,3,19,1
RRT,3,19,1
PRM,3,19,2
PSO,3,19,98
Dijkstra,3,20,1
Astar,3,20,1
RRT,3,20,3
PRM,3,20,6
PSO,3,20,98
Dijkstra,4,1,7
Astar,4,1,2
RRT,4,1,2
PRM,4,1,3
PSO,4,1,98
Dijkstra,4,2,7
Astar,4,2,2
RRT,4,2,4
PRM,4,2,3
PSO,4,2,98
Dijkstra,4,3,7
Astar,4,3,2
RRT,4,3,2
PRM,4,3,0
PSO,4,3,98
Dijkstra,4,4,7
Astar,4,4,2
RRT,4,4,2
PRM,4,4,0
PSO,4,4,98
Dijkstra,4,5,7
Astar,4,5,2
RRT,4,5,2
PRM,4,5,4
PSO,4,5,98
Dijkstra,4,6,7
Astar,4,6,2
RRT,4,6,2
PRM,4,6,0
PSO,4,6,98
Dijkstra,4,7,7
Astar,4,7,2
RRT,4,7,2
PRM,4,7,0
PSO,4,7,98
Dijkstra,4,8,7
Astar,4,8,2
RRT,4,8,2
PRM,4,8,6
PSO,4,8,98
Dijkstra,4,9,7
Astar,4,9,2
RRT,4,9,2
PRM,4,9,0
PSO,4,9,98
Dijkstra,4,10,7
Astar,4,10,2
RRT,4,10,2
PRM,4,10,5
PSO,4,10,98
Dijkstra,4,11,7
Astar,4,11,2
RRT,4,11,2
PRM,4,11,3
PSO,4,11,98
Dijkstra,4,12,7
Astar,4,12,2
RRT,4,12,3
PRM,4,12,0
PSO,4,12,98
Dijkstra,4,13,7
Astar,4,13,2
RRT,4,13,4
PRM,4,13,4
PSO,4,13,98
Dijkstra,4,14,7
Astar,4,14,2
RRT,4,14,2
PRM,4,14,4
PSO,4,14,98
Dijkstra,4,15,7
Astar,4,15,2
RRT,4,15,2
PRM,4,15,3
PSO,4,15,98
Dijkstra,4,16,7
Astar,4,16,2
RRT,4,16,2
PRM,4,16,0
PSO,4,16,98
Dijkstra,4,17,7
Astar,4,17,2
RRT,4,17,2
PRM,4,17,0
PSO,4,17,98
Dijkstra,4,18,7
Astar,4,18,2
RRT,4,18,2
PRM,4,18,0
PSO,4,18,98
Dijkstra,4,19,7
Astar,4,19,2
RRT,4,19,2
PRM,4,19,4
PSO,4,19,98
Dijkstra,4,20,7
Astar,4,20,2
RRT,4,20,2
PRM,4,20,4
PSO,4,20,98
