Algorithm,Map,Run,Value
RRT,2,20,644
PRM,2,20,644
PSO,2,20,28050
Dijkstra,2,21,1270
Astar,2,21,1080
RRT,2,21,459
PRM,2,21,459
PSO,2,21,75000
Dijkstra,2,22,109
Astar,2,22,109
RRT,2,22,3000
PRM,2,22,3000
PSO,2,22,7350
Dijkstra,2,23,1108
Astar,2,23,716
RRT,2,23,238
PRM,2,23,238
PSO,2,23,75000
Dijkstra,2,24,1829
Astar,2,24,1706
RRT,2,24,121
PRM,2,24,121
PSO,2,24,14250
Dijkstra,2,25,1085
Astar,2,25,914
RRT,2,25,302
PRM,2,25,302
PSO,2,25,75000
Dijkstra,2,26,1462
Astar,2,26,1192
RRT,2,26,106
PRM,2,26,106
PSO,2,26,75000
Dijkstra,2,27,1719
Astar,2,27,1719
RRT,2,27,3000
PRM,2,27,3000
PSO,2,27,75000
Dijkstra,2,28,2020
Astar,2,28,1995
RRT,2,28,3000
PRM,2,28,3000
PSO,2,28,75000
Dijkstra,2,29,1727
Astar,2,29,1566
RRT,2,29,552
PRM,2,29,552
PSO,2,29,75000
Dijkstra,2,30,1162
Astar,2,30,1057
RRT,2,30,270
PRM,2,30,270
PSO,2,30,75000
Dijkstra,3,1,1242
Astar,3,1,818
RRT,3,1,3000
PRM,3,1,3000
PSO,3,1,10800
Dijkstra,3,2,1545
Astar,3,2,1487
RRT,3,2,140
PRM,3,2,140
PSO,3,2,9000
Dijkstra,3,3,1643
Astar,3,3,1522
RRT,3,3,594
PRM,3,3,594
PSO,3,3,8400
Dijkstra,3,4,1548
Astar,3,4,1216
RRT,3,4,459
PRM,3,4,459
PSO,3,4,75000
Dijkstra,3,5,1803
Astar,3,5,1658
RRT,3,5,484
PRM,3,5,484
PSO,3,5,75000
Dijkstra,3,6,1620
Astar,3,6,1530
RRT,3,6,311
PRM,3,6,311
PSO,3,6,9300
Dijkstra,3,7,1831
Astar,3,7,1683
RRT,3,7,708
PRM,3,7,708
PSO,3,7,8700
Dijkstra,3,8,1637
Astar,3,8,1363
RRT,3,8,3000
PRM,3,8,3000
PSO,3,8,7650
Dijkstra,3,9,880
Astar,3,9,759
RRT,3,9,774
PRM,3,9,774
PSO,3,9,75000
Dijkstra,3,10,1570
Astar,3,10,1498
RRT,3,10,371
PRM,3,10,371
PSO,3,10,75000
Dijkstra,3,11,1960
Astar,3,11,1516
RRT,3,11,188
PRM,3,11,188
PSO,3,11,8100
Dijkstra,3,12,1586
Astar,3,12,1324
RRT,3,12,367
PRM,3,12,367
PSO,3,12,9000
Dijkstra,3,13,1997
Astar,3,13,1583
RRT,3,13,257
PRM,3,13,257
PSO,3,13,7950
Dijkstra,3,14,1876
Astar,3,14,1509
RRT,3,14,249
PRM,3,14,249
PSO,3,14,75000
Dijkstra,3,15,1761
Astar,3,15,1331
RRT,3,15,3000
PRM,3,15,3000
PSO,3,15,18900
Dijkstra,3,16,1735
Astar,3,16,1233
RRT,3,16,385
PRM,3,16,385
PSO,3,16,12000
Dijkstra,3,17,1797
Astar,3,17,1495
RRT,3,17,132
PRM,3,17,132
PSO,3,17,75000
Dijkstra,3,18,1713
Astar,3,18,1524
RRT,3,18,167
PRM,3,18,167
PSO,3,18,13800
Dijkstra,3,19,1629
Astar,3,19,879
RRT,3,19,997
PRM,3,19,997
PSO,3,19,9750
Dijkstra,3,20,1787
Astar,3,20,1598
RRT,3,20,224
PRM,3,20,224
PSO,3,20,8100
Dijkstra,3,21,1738
Astar,3,21,1607
RRT,3,21,1485
PRM,3,21,1485
PSO,3,21,7500
Dijkstra,3,22,1828
Astar,3,22,1510
RRT,3,22,657
PRM,3,22,657
PSO,3,22,8400
Dijkstra,3,23,1633
Astar,3,23,1525
RRT,3,23,375
PRM,3,23,375
PSO,3,23,8400
Dijkstra,3,24,1670
Astar,3,24,1610
RRT,3,24,218
PRM,3,24,218
PSO,3,24,9750
Dijkstra,3,25,2112
Astar,3,25,1525
RRT,3,25,3000
PRM,3,25,3000
PSO,3,25,7350
Dijkstra,3,26,1932
Astar,3,26,1406
RRT,3,26,114
PRM,3,26,114
PSO,3,26,6600
Dijkstra,3,27,1818
Astar,3,27,1481
RRT,3,27,111
PRM,3,27,111
PSO,3,27,75000
Dijkstra,3,28,1821
Astar,3,28,1543
RRT,3,28,3000
PRM,3,28,3000
PSO,3,28,7350
Dijkstra,3,29,1905
Astar,3,29,1790
RRT,3,29,188
PRM,3,29,188
PSO,3,29,12000
Dijkstra,3,30,1923
Astar,3,30,1743
RRT,3,30,134
PRM,3,30,134
PSO,3,30,7650
Dijkstra,4,1,482
Astar,4,1,451
RRT,4,1,846
PRM,4,1,846
PSO,4,1,18450
Dijkstra,4,2,482
Astar,4,2,451
RRT,4,2,746
PRM,4,2,746
PSO,4,2,75000
Dijkstra,4,3,482
Astar,4,3,451
RRT,4,3,1295
PRM,4,3,1295
PSO,4,3,14250
Dijkstra,4,4,482
Astar,4,4,451
RRT,4,4,918
PRM,4,4,918
PSO,4,4,13950
Dijkstra,4,5,482
Astar,4,5,451
RRT,4,5,1704
PRM,4,5,1704
PSO,4,5,75000
Dijkstra,4,6,482
Astar,4,6,451
RRT,4,6,734
PRM,4,6,734
PSO,4,6,75000
Dijkstra,4,7,482
Astar,4,7,451
RRT,4,7,1490
PRM,4,7,1490
PSO,4,7,18150
Dijkstra,4,8,482
Astar,4,8,451
RRT,4,8,1269
PRM,4,8,1269
PSO,4,8,75000
Dijkstra,4,9,482
Astar,4,9,451
RRT,4,9,3000
PRM,4,9,3000
PSO,4,9,16350
Dijkstra,4,10,482
Astar,4,10,451
RRT,4,10,3000
PRM,4,10,3000
PSO,4,10,75000
Dijkstra,4,11,482
Astar,4,11,451
RRT,4,11,1917
PRM,4,11,1917
PSO,4,11,16650
Dijkstra,4,12,482
Astar,4,12,451
RRT,4,12,1138
PRM,4,12,1138
PSO,4,12,75000
Dijkstra,4,13,482
Astar,4,13,451
RRT,4,13,2157
PRM,4,13,2157
PSO,4,13,75000
Dijkstra,4,14,482
Astar,4,14,451
RRT,4,14,1341
PRM,4,14,1341
PSO,4,14,75000
Dijkstra,4,15,482
Astar,4,15,451
RRT,4,15,3000
PRM,4,15,3000
PSO,4,15,75000
Dijkstra,4,16,482
Astar,4,16,451
RRT,4,16,1105
PRM,4,16,1105
PSO,4,16,75000
Dijkstra,4,17,482
Astar,4,17,451
RRT,4,17,593
PRM,4,17,593
PSO,4,17,75000
Dijkstra,4,18,482
Astar,4,18,451
RRT,4,18,3000
PRM,4,18,3000
PSO,4,18,75000
Dijkstra,4,19,482
Astar,4,19,451
RRT,4,19,3000
PRM,4,19,3000
PSO,4,19,13500
Dijkstra,4,20,482
Astar,4,20,451
RRT,4,20,3000
PRM,4,20,3000
PSO,4,20,75000
Dijkstra,4,21,482
Astar,4,21,451
RRT,4,21,1951
PRM,4,21,1951
PSO,4,21,75000
Dijkstra,4,22,482
Astar,4,22,451
RRT,4,22,1720
PRM,4,22,1720
PSO,4,22,75000
Dijkstra,4,23,482
Astar,4,23,451
RRT,4,23,3000
PRM,4,23,3000
PSO,4,23,75000
Dijkstra,4,24,482
Astar,4,24,451
RRT,4,24,750
PRM,4,24,750
PSO,4,24,75000
Dijkstra,4,25,482
Astar,4,25,451
RRT,4,25,2759
PRM,4,25,2759
PSO,4,25,75000
Dijkstra,4,26,482
Astar,4,26,451
RRT,4,26,485
PRM,4,26,485
PSO,4,26,75000
Dijkstra,4,27,482
Astar,4,27,451
RRT,4,27,756
PRM,4,27,756
PSO,4,27,75000
Dijkstra,4,28,482
Astar,4,28,451
RRT,4,28,3000
PRM,4,28,3000
PSO,4,28,16200
Dijkstra,4,29,482
Astar,4,29,451
RRT,4,29,1270
PRM,4,29,1270
PSO,4,29,13650
Dijkstra,4,30,482
Astar,4,30,451
RRT,4,30,957
PRM,4,30,957
PSO,4,30,31050
